,date,country,state,confirmed,deaths,recovered,month_year
214,2020-03-03,Nigeria,Ondo,0,0,0,2020-03
215,2020-03-03,Nigeria,Oyo,0,0,0,2020-03
216,2020-03-03,Nigeria,Plateau,0,0,0,2020-03
217,2020-03-03,Nigeria,Rivers,0,0,0,2020-03
218,2020-03-03,Nigeria,Sokoto,0,0,0,2020-03
219,2020-03-03,Nigeria,Taraba,0,0,0,2020-03
220,2020-03-03,Nigeria,Yobe,0,0,0,2020-03
221,2020-03-03,Nigeria,Zamfara,0,0,0,2020-03
222,2020-03-04,Nigeria,Abia,0,0,0,2020-03
223,2020-03-04,Nigeria,Adamawa,0,0,0,2020-03
224,2020-03-04,Nigeria,Akwa Ibom,0,0,0,2020-03
225,2020-03-04,Nigeria,Anambra,0,0,0,2020-03
226,2020-03-04,Nigeria,Bauchi,0,0,0,2020-03
227,2020-03-04,Nigeria,Bayelsa,0,0,0,2020-03
228,2020-03-04,Nigeria,Benue,0,0,0,2020-03
229,2020-03-04,Nigeria,Borno,0,0,0,2020-03
230,2020-03-04,Nigeria,Cross River,0,0,0,2020-03
231,2020-03-04,Nigeria,Delta,0,0,0,2020-03
232,2020-03-04,Nigeria,Ebonyi,0,0,0,2020-03
233,2020-03-04,Nigeria,Edo,0,0,0,2020-03
234,2020-03-04,Nigeria,Ekiti,0,0,0,2020-03
235,2020-03-04,Nigeria,Enugu,0,0,0,2020-03
236,2020-03-04,Nigeria,Federal Capital Territory,0,0,0,2020-03
237,2020-03-04,Nigeria,Gombe,0,0,0,2020-03
238,2020-03-04,Nigeria,Imo,0,0,0,2020-03
239,2020-03-04,Nigeria,Jigawa,0,0,0,2020-03
240,2020-03-04,Nigeria,Kaduna,0,0,0,2020-03
241,2020-03-04,Nigeria,Kano,0,0,0,2020-03
242,2020-03-04,Nigeria,Katsina,0,0,0,2020-03
243,2020-03-04,Nigeria,Kebbi,0,0,0,2020-03
244,2020-03-04,Nigeria,Kogi,0,0,0,2020-03
245,2020-03-04,Nigeria,Kwara,0,0,0,2020-03
246,2020-03-04,Nigeria,Lagos,0,0,0,2020-03
247,2020-03-04,Nigeria,Nasarawa,0,0,0,2020-03
248,2020-03-04,Nigeria,Niger,0,0,0,2020-03
249,2020-03-04,Nigeria,Ogun,0,0,0,2020-03
250,2020-03-04,Nigeria,Osun,0,0,0,2020-03
251,2020-03-04,Nigeria,Ondo,0,0,0,2020-03
252,2020-03-04,Nigeria,Oyo,0,0,0,2020-03
253,2020-03-04,Nigeria,Plateau,0,0,0,2020-03
254,2020-03-04,Nigeria,Rivers,0,0,0,2020-03
255,2020-03-04,Nigeria,Sokoto,0,0,0,2020-03
256,2020-03-04,Nigeria,Taraba,0,0,0,2020-03
257,2020-03-04,Nigeria,Yobe,0,0,0,2020-03
258,2020-03-04,Nigeria,Zamfara,0,0,0,2020-03
259,2020-03-05,Nigeria,Abia,0,0,0,2020-03
260,2020-03-05,Nigeria,Adamawa,0,0,0,2020-03
261,2020-03-05,Nigeria,Akwa Ibom,0,0,0,2020-03
262,2020-03-05,Nigeria,Anambra,0,0,0,2020-03
263,2020-03-05,Nigeria,Bauchi,0,0,0,2020-03
264,2020-03-05,Nigeria,Bayelsa,0,0,0,2020-03
265,2020-03-05,Nigeria,Benue,0,0,0,2020-03
266,2020-03-05,Nigeria,Borno,0,0,0,2020-03
267,2020-03-05,Nigeria,Cross River,0,0,0,2020-03
268,2020-03-05,Nigeria,Delta,0,0,0,2020-03
269,2020-03-05,Nigeria,Ebonyi,0,0,0,2020-03
270,2020-03-05,Nigeria,Edo,0,0,0,2020-03
271,2020-03-05,Nigeria,Ekiti,0,0,0,2020-03
272,2020-03-05,Nigeria,Enugu,0,0,0,2020-03
273,2020-03-05,Nigeria,Federal Capital Territory,0,0,0,2020-03
274,2020-03-05,Nigeria,Gombe,0,0,0,2020-03
275,2020-03-05,Nigeria,Imo,0,0,0,2020-03
276,2020-03-05,Nigeria,Jigawa,0,0,0,2020-03
277,2020-03-05,Nigeria,Kaduna,0,0,0,2020-03
278,2020-03-05,Nigeria,Kano,0,0,0,2020-03
279,2020-03-05,Nigeria,Katsina,0,0,0,2020-03
280,2020-03-05,Nigeria,Kebbi,0,0,0,2020-03
281,2020-03-05,Nigeria,Kogi,0,0,0,2020-03
282,2020-03-05,Nigeria,Kwara,0,0,0,2020-03
283,2020-03-05,Nigeria,Lagos,0,0,0,2020-03
284,2020-03-05,Nigeria,Nasarawa,0,0,0,2020-03
285,2020-03-05,Nigeria,Niger,0,0,0,2020-03
286,2020-03-05,Nigeria,Ogun,0,0,0,2020-03
287,2020-03-05,Nigeria,Osun,0,0,0,2020-03
288,2020-03-05,Nigeria,Ondo,0,0,0,2020-03
289,2020-03-05,Nigeria,Oyo,0,0,0,2020-03
290,2020-03-05,Nigeria,Plateau,0,0,0,2020-03
291,2020-03-05,Nigeria,Rivers,0,0,0,2020-03
292,2020-03-05,Nigeria,Sokoto,0,0,0,2020-03
293,2020-03-05,Nigeria,Taraba,0,0,0,2020-03
294,2020-03-05,Nigeria,Yobe,0,0,0,2020-03
295,2020-03-05,Nigeria,Zamfara,0,0,0,2020-03
296,2020-03-06,Nigeria,Abia,0,0,0,2020-03
297,2020-03-06,Nigeria,Adamawa,0,0,0,2020-03
298,2020-03-06,Nigeria,Akwa Ibom,0,0,0,2020-03
299,2020-03-06,Nigeria,Anambra,0,0,0,2020-03
300,2020-03-06,Nigeria,Bauchi,0,0,0,2020-03
301,2020-03-06,Nigeria,Bayelsa,0,0,0,2020-03
302,2020-03-06,Nigeria,Benue,0,0,0,2020-03
303,2020-03-06,Nigeria,Borno,0,0,0,2020-03
304,2020-03-06,Nigeria,Cross River,0,0,0,2020-03
305,2020-03-06,Nigeria,Delta,0,0,0,2020-03
306,2020-03-06,Nigeria,Ebonyi,0,0,0,2020-03
307,2020-03-06,Nigeria,Edo,0,0,0,2020-03
308,2020-03-06,Nigeria,Ekiti,0,0,0,2020-03
309,2020-03-06,Nigeria,Enugu,0,0,0,2020-03
310,2020-03-06,Nigeria,Federal Capital Territory,0,0,0,2020-03
311,2020-03-06,Nigeria,Gombe,0,0,0,2020-03
312,2020-03-06,Nigeria,Imo,0,0,0,2020-03
313,2020-03-06,Nigeria,Jigawa,0,0,0,2020-03
314,2020-03-06,Nigeria,Kaduna,0,0,0,2020-03
315,2020-03-06,Nigeria,Kano,0,0,0,2020-03
316,2020-03-06,Nigeria,Katsina,0,0,0,2020-03
317,2020-03-06,Nigeria,Kebbi,0,0,0,2020-03
318,2020-03-06,Nigeria,Kogi,0,0,0,2020-03
319,2020-03-06,Nigeria,Kwara,0,0,0,2020-03
320,2020-03-06,Nigeria,Lagos,0,0,0,2020-03
321,2020-03-06,Nigeria,Nasarawa,0,0,0,2020-03
322,2020-03-06,Nigeria,Niger,0,0,0,2020-03
323,2020-03-06,Nigeria,Ogun,0,0,0,2020-03
324,2020-03-06,Nigeria,Osun,0,0,0,2020-03
325,2020-03-06,Nigeria,Ondo,0,0,0,2020-03
326,2020-03-06,Nigeria,Oyo,0,0,0,2020-03
327,2020-03-06,Nigeria,Plateau,0,0,0,2020-03
328,2020-03-06,Nigeria,Rivers,0,0,0,2020-03
329,2020-03-06,Nigeria,Sokoto,0,0,0,2020-03
330,2020-03-06,Nigeria,Taraba,0,0,0,2020-03
331,2020-03-06,Nigeria,Yobe,0,0,0,2020-03
332,2020-03-06,Nigeria,Zamfara,0,0,0,2020-03
333,2020-03-07,Nigeria,Abia,0,0,0,2020-03
334,2020-03-07,Nigeria,Adamawa,0,0,0,2020-03
335,2020-03-07,Nigeria,Akwa Ibom,0,0,0,2020-03
336,2020-03-07,Nigeria,Anambra,0,0,0,2020-03
337,2020-03-07,Nigeria,Bauchi,0,0,0,2020-03
338,2020-03-07,Nigeria,Bayelsa,0,0,0,2020-03
339,2020-03-07,Nigeria,Benue,0,0,0,2020-03
340,2020-03-07,Nigeria,Borno,0,0,0,2020-03
341,2020-03-07,Nigeria,Cross River,0,0,0,2020-03
342,2020-03-07,Nigeria,Delta,0,0,0,2020-03
343,2020-03-07,Nigeria,Ebonyi,0,0,0,2020-03
344,2020-03-07,Nigeria,Edo,0,0,0,2020-03
345,2020-03-07,Nigeria,Ekiti,0,0,0,2020-03
346,2020-03-07,Nigeria,Enugu,0,0,0,2020-03
347,2020-03-07,Nigeria,Federal Capital Territory,0,0,0,2020-03
348,2020-03-07,Nigeria,Gombe,0,0,0,2020-03
349,2020-03-07,Nigeria,Imo,0,0,0,2020-03
350,2020-03-07,Nigeria,Jigawa,0,0,0,2020-03
351,2020-03-07,Nigeria,Kaduna,0,0,0,2020-03
352,2020-03-07,Nigeria,Kano,0,0,0,2020-03
353,2020-03-07,Nigeria,Katsina,0,0,0,2020-03
354,2020-03-07,Nigeria,Kebbi,0,0,0,2020-03
355,2020-03-07,Nigeria,Kogi,0,0,0,2020-03
356,2020-03-07,Nigeria,Kwara,0,0,0,2020-03
357,2020-03-07,Nigeria,Lagos,0,0,0,2020-03
358,2020-03-07,Nigeria,Nasarawa,0,0,0,2020-03
359,2020-03-07,Nigeria,Niger,0,0,0,2020-03
360,2020-03-07,Nigeria,Ogun,0,0,0,2020-03
361,2020-03-07,Nigeria,Osun,0,0,0,2020-03
362,2020-03-07,Nigeria,Ondo,0,0,0,2020-03
363,2020-03-07,Nigeria,Oyo,0,0,0,2020-03
364,2020-03-07,Nigeria,Plateau,0,0,0,2020-03
365,2020-03-07,Nigeria,Rivers,0,0,0,2020-03
366,2020-03-07,Nigeria,Sokoto,0,0,0,2020-03
367,2020-03-07,Nigeria,Taraba,0,0,0,2020-03
368,2020-03-07,Nigeria,Yobe,0,0,0,2020-03
369,2020-03-07,Nigeria,Zamfara,0,0,0,2020-03
370,2020-03-08,Nigeria,Abia,0,0,0,2020-03
371,2020-03-08,Nigeria,Adamawa,0,0,0,2020-03
372,2020-03-08,Nigeria,Akwa Ibom,0,0,0,2020-03
373,2020-03-08,Nigeria,Anambra,0,0,0,2020-03
374,2020-03-08,Nigeria,Bauchi,0,0,0,2020-03
375,2020-03-08,Nigeria,Bayelsa,0,0,0,2020-03
376,2020-03-08,Nigeria,Benue,0,0,0,2020-03
377,2020-03-08,Nigeria,Borno,0,0,0,2020-03
378,2020-03-08,Nigeria,Cross River,0,0,0,2020-03
379,2020-03-08,Nigeria,Delta,0,0,0,2020-03
380,2020-03-08,Nigeria,Ebonyi,0,0,0,2020-03
381,2020-03-08,Nigeria,Edo,0,0,0,2020-03
382,2020-03-08,Nigeria,Ekiti,0,0,0,2020-03
383,2020-03-08,Nigeria,Enugu,0,0,0,2020-03
384,2020-03-08,Nigeria,Federal Capital Territory,0,0,0,2020-03
385,2020-03-08,Nigeria,Gombe,0,0,0,2020-03
386,2020-03-08,Nigeria,Imo,0,0,0,2020-03
387,2020-03-08,Nigeria,Jigawa,0,0,0,2020-03
388,2020-03-08,Nigeria,Kaduna,0,0,0,2020-03
389,2020-03-08,Nigeria,Kano,0,0,0,2020-03
390,2020-03-08,Nigeria,Katsina,0,0,0,2020-03
391,2020-03-08,Nigeria,Kebbi,0,0,0,2020-03
392,2020-03-08,Nigeria,Kogi,0,0,0,2020-03
393,2020-03-08,Nigeria,Kwara,0,0,0,2020-03
394,2020-03-08,Nigeria,Lagos,0,0,0,2020-03
395,2020-03-08,Nigeria,Nasarawa,0,0,0,2020-03
396,2020-03-08,Nigeria,Niger,0,0,0,2020-03
397,2020-03-08,Nigeria,Ogun,0,0,0,2020-03
398,2020-03-08,Nigeria,Osun,0,0,0,2020-03
399,2020-03-08,Nigeria,Ondo,0,0,0,2020-03
400,2020-03-08,Nigeria,Oyo,0,0,0,2020-03
401,2020-03-08,Nigeria,Plateau,0,0,0,2020-03
402,2020-03-08,Nigeria,Rivers,0,0,0,2020-03
403,2020-03-08,Nigeria,Sokoto,0,0,0,2020-03
404,2020-03-08,Nigeria,Taraba,0,0,0,2020-03
405,2020-03-08,Nigeria,Yobe,0,0,0,2020-03
406,2020-03-08,Nigeria,Zamfara,0,0,0,2020-03
407,2020-03-09,Nigeria,Abia,0,0,0,2020-03
408,2020-03-09,Nigeria,Adamawa,0,0,0,2020-03
409,2020-03-09,Nigeria,Akwa Ibom,0,0,0,2020-03
410,2020-03-09,Nigeria,Anambra,0,0,0,2020-03
411,2020-03-09,Nigeria,Bauchi,0,0,0,2020-03
412,2020-03-09,Nigeria,Bayelsa,0,0,0,2020-03
413,2020-03-09,Nigeria,Benue,0,0,0,2020-03
414,2020-03-09,Nigeria,Borno,0,0,0,2020-03
415,2020-03-09,Nigeria,Cross River,0,0,0,2020-03
416,2020-03-09,Nigeria,Delta,0,0,0,2020-03
417,2020-03-09,Nigeria,Ebonyi,0,0,0,2020-03
418,2020-03-09,Nigeria,Edo,0,0,0,2020-03
419,2020-03-09,Nigeria,Ekiti,0,0,0,2020-03
420,2020-03-09,Nigeria,Enugu,0,0,0,2020-03
421,2020-03-09,Nigeria,Federal Capital Territory,0,0,0,2020-03
422,2020-03-09,Nigeria,Gombe,0,0,0,2020-03
423,2020-03-09,Nigeria,Imo,0,0,0,2020-03
424,2020-03-09,Nigeria,Jigawa,0,0,0,2020-03
425,2020-03-09,Nigeria,Kaduna,0,0,0,2020-03
426,2020-03-09,Nigeria,Kano,0,0,0,2020-03
427,2020-03-09,Nigeria,Katsina,0,0,0,2020-03
428,2020-03-09,Nigeria,Kebbi,0,0,0,2020-03
429,2020-03-09,Nigeria,Kogi,0,0,0,2020-03
430,2020-03-09,Nigeria,Kwara,0,0,0,2020-03
431,2020-03-09,Nigeria,Lagos,0,0,0,2020-03
432,2020-03-09,Nigeria,Nasarawa,0,0,0,2020-03
433,2020-03-09,Nigeria,Niger,0,0,0,2020-03
434,2020-03-09,Nigeria,Ogun,1,0,0,2020-03
435,2020-03-09,Nigeria,Osun,0,0,0,2020-03
436,2020-03-09,Nigeria,Ondo,0,0,0,2020-03
437,2020-03-09,Nigeria,Oyo,0,0,0,2020-03
438,2020-03-09,Nigeria,Plateau,0,0,0,2020-03
439,2020-03-09,Nigeria,Rivers,0,0,0,2020-03
440,2020-03-09,Nigeria,Sokoto,0,0,0,2020-03
441,2020-03-09,Nigeria,Taraba,0,0,0,2020-03
442,2020-03-09,Nigeria,Yobe,0,0,0,2020-03
